stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
AVI1HDV2,,"Avion Hôtel de Ville",,50.413559,2.833666,,,0,
AVI1LCO2,,"Colonel Fabien",,50.409700,2.813108,,,0,
AVI1LCOU,,"Rue Foch",,50.410587,2.815077,,,0,
AVI1MART,,"Avion Martel",,50.404285,2.812216,,,0,
AVI1PBOU,,"Bourel",,50.416962,2.845457,,,0,
AVI1PELU,,"Eluard",,50.397471,2.834939,,,0,
AVI1PIC2,,"Avion Lycée Picasso",,50.400148,2.835467,,,0,
AVI1PICA,,"Avion Lycée Picasso",,50.402760,2.835574,,,0,
AVI1PINC,,"Pinchonvalles",,50.400628,2.810592,,,0,
AVI1PLEB,,"Avion République",,50.399132,2.831898,,,0,
AVI1REPU,,"Lebas",,50.399603,2.835386,,,0,
AVI1RJJR,,"Avion Rousseau",,50.402123,2.829014,,,0,
AVI1SALI,,"Salingue",,50.415656,2.846476,,,0,
AVI1SQFO,,"Square Foulon",,50.410923,2.835134,,,0,
AVI1VOLT,,"Voltaire",,50.421792,2.842284,,,0,
AVI2BAS2,,"Rue Helle",,50.406986,2.835800,,,0,
AVI2BROS,,"Brossolette",,50.410488,2.807325,,,0,
AVI2CHVE,,"Taverne",,50.410308,2.855317,,,0,
AVI2CICH,,"Cheminots",,50.413700,2.850906,,,0,
AVI2CIME,,"Avion Cimetière",,50.414040,2.840330,,,0,
AVI2COSM,,"Rue Lamendin",,50.406496,2.841058,,,0,
AVI2CSEC,,"Thumerelle",,50.409123,2.821390,,,0,
AVI2DELE,,"Delestraint",,50.413911,2.811879,,,0,
AVI2EGL2,,"Avion Eglise",,50.410484,2.830416,,,0,
AVI2FCA2,,"Cadras",,50.408603,2.825064,,,0,
AVI2FOS7,,"Fosse 7",,50.404721,2.815442,,,0,
AVI2GEND,,"Avion Gendarmerie",,50.405452,2.828320,,,0,
AVI2GHE2,,"Ghesquière",,50.406907,2.813227,,,0,
AVI2HDV2,,"Avion Hôtel de Ville",,50.413503,2.833402,,,0,
AVI2LCO2,,"Colonel Fabien",,50.409779,2.813348,,,0,
AVI2LCOU,,"Rue Foch",,50.410504,2.814912,,,0,
AVI2MART,,"Avion Martel",,50.404466,2.812208,,,0,
AVI2PBOU,,"Bourel",,50.416819,2.845217,,,0,
AVI2PELU,,"Eluard",,50.397559,2.834603,,,0,
AVI2PICA,,"Avion Lycée Picasso",,50.402716,2.835537,,,0,
AVI2PINC,,"Pinchonvalles",,50.400708,2.810477,,,0,
AVI2PLEB,,"Avion République",,50.399245,2.832106,,,0,
AVI2REPU,,"Lebas",,50.399555,2.835255,,,0,
AVI2RJJR,,"Avion Rousseau",,50.402549,2.829034,,,0,
AVI2SALI,,"Salingue",,50.415594,2.846342,,,0,
AVI2SQFO,,"Square Foulon",,50.410863,2.835097,,,0,
AVI2VOLT,,"Voltaire",,50.421735,2.842181,,,0,
BAJ1ABRE,,"Abreuvoir",,50.420202,2.477341,,,0,
BAJ1GARE,,"Rue de Diéval",,50.423477,2.474592,,,0,
BAJ1MAIR,,"Bajus Mairie",,50.421503,2.482232,,,0,
BAJ2ABRE,,"Abreuvoir",,50.420255,2.477917,,,0,
BAJ2GARE,,"Rue de Diéval",,50.423431,2.474549,,,0,
BAJ2MAIR,,"Bajus Mairie",,50.421533,2.482457,,,0,
BAR1ACTI,,"Actigreen",,50.451266,2.614160,,,0,
BAR1ARAG,,"Barlin Collège Moulin - Quai A",,50.457526,2.622866,,,0,
